,0,1,2
325,Lake O' The Pines,34.014191700000005,-119.3677889
326,Table Rock Lake,40.53,-121.56194440000002
327,Dequeen Lake,21.367777800000002,-157.9527778
328,Gillham Lake,40.565,-121.3052778
329,Clearwater Lake,40.451111100000006,-121.29583329999998
330,Nimrod Lake,40.4944444,-121.4175
331,Georgetown Lake,37.9966667,-122.975
332,Belton Lake,40.529166700000005,-121.5638889
333,Whitney Lake,34.1097222,-118.93722220000001
334,Lavon Lake,36.4663889,-121.1761111
335,Wright Patman Lake,40.4902778,-121.4236111
336,Proctor Lake,40.5625,-121.425
337,Stillhouse Hollow Lake,48.675,-121.51666670000002
338,Hords Creek Lake,48.2863833,-121.26111110000001
339,Sam Rayburn Reservoir,47.9046028,-118.12003059999999
340,Lewisville Lake,47.9330556,-118.30915279999999
341,Beaver Lake,48.702613899999996,-118.93907220000001
342,Bardwell Lake,48.59241110000001,-118.11497779999999
343,Benbrook Lake,48.124625,-118.3119028
344,Navarro Mills Lake,47.9088028,-121.26583329999998
345,Steinhagen Lake,48.673333299999996,-119.5275
346,Arkansas River - Wilbur D. Mills Pool,37.7483333,-156.1644444
347,Blue Mountain Lake,20.709722199999998,-123.857825
348,Arkansas River - Pool 3,47.9667528,-121.0960611
349,Somerville Lake,48.689580600000006,-120.08963059999999
350,John Paul Hammerschmidt Lake,33.97735,-122.5246639
351,Arkansas River - Pool 5,37.8308917,-122.5313889
352,Granger Lake,40.576111100000006,-122.55166670000001
353,Arkansas River - Toad Suck Ferry Pool,40.5858333,-116.0625
354,Arkansas River - Terry Lock and Dam,33.9922222,-119.6047
355,Arkansas River - Murray Lock and Dam,37.5098,37.865101
356,Kaw Lake,-60.46167,48.0994
357,Eufaula Lake,-56.57420000000001,-110.57512908497769
358,Canton Lake,32.193491023336506,-76.91444440000001
359,Council Grove Lake,38.1894444,-122.57241670000002
360,Birch Lake,37.8928333,-82.8113
361,Tenkiller Ferry Lake,41.6541,-105.68625829999999
362,Waurika Lake,35.550438899999996,-82.4508
363,Marion Reservoir,35.27131,43.89265
364,John Redmond Reservoir,-76.52923299999999,-91.52606390000001
365,Pine Creek Lake,41.7243806,-98.0102778
366,Big Hill Lake,47.1605556,-88.9543139
367,Fort Supply Lake,38.0383,-93.72361109999999
368,Skiatook Lake,41.737777799999996,-93.025
369,Fall River Lake,41.3641667,-93.2283333
370,Canyon Lake,34.2586111,-93.2041667
371,Grapevine Lake,34.271666700000004,-98.0
372,Stanislaus River Parks,47.1375,-90.4033333
373,Arkansas River - Robert S. Kerr Pool,42.2858333,-93.6852778
374,Bayou Bodcau Reservoir,41.701666700000004,-89.23361109999999
375,Tennessee-Tombigbee Waterway,38.6947222,-93.26472220000001
376,Copan Lake,34.588055600000004,-93.1875
377,Otter Brook Lake,34.2611111,-93.68
378,North Springfield Lake,41.7313889,-89.82222220000001
379,Surry Mountain Lake,34.163888899999996,-90.8094444
380,Tongass National Forest,41.4663889,-89.7097222
381,Chugach National Forest,34.4269444,-89.2602778
382,Idaho Panhandle National Forests,38.65694439999999,-88.7625
383,Helena-Lewis and Clark National Forest,39.4513889,-93.66861109999999
384,Nez Perce-Clearwater National Forests,34.1744444,-94.1083333
385,Kootenai National Forest,46.6697222,-93.36111109999999
386,Bitterroot National Forest,34.546944399999994,-88.9425
387,Custer National Forest,38.035277799999996,-89.3083333
388,Custer Gallatin National Forest,38.6083333,-89.3497222
389,Lolo National Forest,38.5997222,-88.9858333
390,Flathead National Forest,38.0391667,-89.3583333
391,Beaverhead-Deerlodge National Forest,38.6277778,-93.4933333
392,Medicine Bow-Routt NFs & Thunder Basin NG,34.5519444,-90.1147222
393,White River National Forest,34.77444439999999,-93.185
394,PSICC,34.2555556,-88.62222220000001
395,Bighorn National Forest,39.5513889,-90.39
396,"Grand Mesa, Uncompahgre and Gunnison National Forest",41.5697222,-91.6475
397,Black Hills National Forest,39.5355556,-90.7097222
398,Rio Grande National Forest,42.6594444,-88.9302778
399,Arapaho & Roosevelt National Forests Pawnee NG,38.0786111,-90.0688889
400,San Juan National Forest,34.733611100000005,-92.2432194
401,Shoshone National Forest,44.8726222,-92.97361109999999
402,Nebraska National Forests and Grasslands,41.365,-91.7330556
403,Sopris RD - FS,39.5391667,-93.12777779999999
404,Coconino National Forest Recreation,34.226944399999994,-91.65888890000001
